sid,"splunk_server","_time","is_realtime",provenance,search,"adhoc_search_level","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_search","__mv_adhoc_search_level","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"1692694323.29","instance-1","1692694323.074455",0,"UI:Search","search source=""/opt/splunk/etc/apps/custom_blocklistde/bin/blocklist_puller.py"" host=""instance-1"" index=""blocklist_test"" sourcetype=""_json""",smart,104,1692694323,104,104,completed,"0.145",,,,,,,,,,,,,,,,,,,,,
"1692694378.31","instance-1","1692694378.522167",0,"UI:Search","search index=""blocklist_test"" ip=128*",smart,1,1692694378,1,6,completed,"0.10400000000000001",,,,,,,,,,,,,,,,,,,,,
"1692694385.32","instance-1","1692694385.146131",0,"UI:Search","search index=""blocklist_test""",smart,104,1692694385,104,104,completed,"0.06",,,,,,,,,,,,,,,,,,,,,
"rt_md_1692695386.35","instance-1","1692695386.506259",1,"UI:Search","| metadata type=sourcetypes | search totalCount > 0","",0,1692695386,0,0,canceled,"7.026",,,,,,,,,,,,,,,,,,,,,
"1692695393.39","instance-1","1692695393.628156",0,"UI:Search","search index=""blocklist_test""",smart,104,1692695393,104,104,completed,"0.10200000000000001","1692608400.000000000","1692695393.000000000","1692608400.000000000","1692695393.000000000",,,,,,,,,,,,,,,,,
"rt_md_1692762293.232","instance-1","1692762293.248342",1,"UI:Search","| metadata type=sourcetypes | search totalCount > 0","",0,1692762293,0,0,canceled,"6.03",,,,,,,,,,,,,,,,,,,,,
"1692762299.236","instance-1","1692762299.652912",0,"UI:Search","search index=""blocklist_test"" ip=128*",smart,28,1692762299,28,66,completed,"0.303","1692673200.000000000","1692762299.000000000","1692673200.000000000","1692762299.000000000",,,,,,,,,,,,,,,,,
"1692762305.238","instance-1","1692762305.577383",0,"UI:Search","search index=""blocklist_test""",smart,2311,1692762305,2311,2311,completed,"0.138","1692673200.000000000","1692762305.000000000","1692673200.000000000","1692762305.000000000",,,,,,,,,,,,,,,,,
"1692762317.239","instance-1","1692762317.807448",0,"UI:Search","search index=""blocklist_test""| stats count by ip",smart,2311,1692762317,2311,2311,completed,"0.092","1692673200.000000000","1692762317.000000000","1692673200.000000000","1692762317.000000000",,,,,,,,,,,,,,,,,
"1692762322.240","instance-1","1692762322.479184",0,"UI:Search","search index=""blocklist_test""| stats count",smart,2311,1692762322,1,2311,completed,"0.10400000000000001","1692673200.000000000","1692762322.000000000","1692673200.000000000","1692762322.000000000",,,,,,,,,,,,,,,,,
